userName,score,content,sentiment,cleaned_text
A Google user,2,this is awesome ami eta theke onk kichu sikte perici ami mone kori jara english a durbol tader ei app ti use kora dorkar keno na ami eta theke valo english sikhechi,Negative,awesome ami eta theke onk kichu sikte perici ami mone kori jara english durbol tader ei app ti use kora dorkar keno na ami eta theke valo english sikhechi
A Google user,1,good,Negative,good
A Google user,5,"Duolingo has become a ubiquitous name in language learning, and for good reason. Its gamified approach, accessibility, and wide range of languages have made it a popular choice for millions seeking to broaden their linguistic horizons. However, like any educational tool, Duolingo has its strengths and weaknesses, which are important to consider when evaluating its effectiveness. One of Duolingo's most significant advantages is its gamification. Turning language learning into a game.",Positive,duolingo become ubiquitous name language learning good reason gamified approach accessibility wide range languages made popular choice millions seeking broaden linguistic horizons however like educational tool duolingo strengths weaknesses important consider evaluating effectiveness one duolingo significant advantages gamification turning language learning game
A Google user,5,this help me learn every word in Spanish thanks Duolingo i love Duolingo it is the best ever i just love it thanks Duolingo hope you have fun doing Duolingo.,Positive,help learn every word spanish thanks duolingo love duolingo best ever love thanks duolingo hope fun duolingo
A Google user,5,This app is fantastic 😍😊,Positive,app fantastic
A Google user,4,"I learnt many korean letters but I want to know more,,this app is so helpfull to learn all languages🎀",Positive,learnt many korean letters want know app helpfull learn languages
A Google user,5,one the best app,Positive,one best app
A Google user,3,Teaching the same thing if I get it correct,Neutral,teaching thing get correct
A Google user,4,"In Ukrainian I am told the accent is not very good. Teaches you ridiculous things. Who needs to say ""no that's not my elephant"" Brilliant at forming a habit though and promoting competitive learning which works for me",Positive,ukrainian told accent good teaches ridiculous things needs say elephant brilliant forming habit though promoting competitive learning works
A Google user,5,so far it is easy enough to understand and retain especially due to repititions of even the same words,Positive,far easy enough understand retain especially due repititions even words
A Google user,5,great learning platform,Positive,great learning platform
A Google user,5,Nice app and interesting,Positive,nice app interesting
A Google user,5,Children good suggestion platfo rm,Positive,children good suggestion platfo rm
A Google user,4,"not bad, should givr it a try",Positive,bad givr try
A Google user,1,"Since last year update I can't use the app, it keeps saying ""offline"" even when I'm online. I uninstalled and reinstalled it and I have missed classes for months. I'm just installing it now again. Same issue",Negative,since last year update use app keeps saying offline even online uninstalled reinstalled missed classes months installing issue
A Google user,4,little bit expensive to get the ad free/unlimited lives version but still definitely worth the cost,Positive,little bit expensive get ad free unlimited lives version still definitely worth cost
A Google user,4,Fun way to learn languages! Thanks for getting those issues ironed out. Updating my review again.,Positive,fun way learn languages thanks getting issues ironed updating review
A Google user,4,I am so proud of you,Positive,proud
A Google user,5,helped me so much after a week I knew so much Irish!,Positive,helped much week knew much irish
A Google user,2,I recommend all beginers,Negative,recommend beginers
A Google user,5,I learn in this app Korean and Hindi now I want to learn Marathi and English but I also know hindi and marathi but I know half of Marathi but don't everything I don't know Korea Japanese but I want to write the full languages a very important very very important app I love you so so much thank you Duolingo to support me and to know the Korean and Hindi thank you 😄😄😄😄😄😄😄😄😄😄😄😄😄😄😄😄😄😄😄,Positive,learn app korean hindi want learn marathi english also know hindi marathi know half marathi everything know korea japanese want write full languages important important app love much thank duolingo support know korean hindi thank
A Google user,5,bestest,Positive,bestest
A Google user,5,duolingo reached me to speak Japanese,Positive,duolingo reached speak japanese
A Google user,3,"Good for something that is free. The ads are getting bad. I liked the first version MUCH better than what has developed. Sometimes, they don't translate the answer, it just says whether it's correct or not. There's not much learning in that. One of the guys voices irritates me so bad I have to turn the volume down when he talks. Taking away the practice to earn hearts function was a mistake, how are we meant to learn if we can't make mistakes? Lose five hearts and you're done? Stupid.",Neutral,good something free ads getting bad liked first version much better developed sometimes translate answer says whether correct much learning one guys voices irritates bad turn volume talks taking away practice earn hearts function mistake meant learn make mistakes lose five hearts done stupid
A Google user,5,I really like the simplicity of it. Super easy to get started.,Positive,really like simplicity super easy get started
A Google user,5,You are best duolingo,Positive,best duolingo
A Google user,5,Duo Widget is very dramatic. App has lots of features and makes it fun to learn. My German has improved so much since using Duolingo,Positive,duo widget dramatic app lots features makes fun learn german improved much since using duolingo
A Google user,2,"I used to LOVE Duo Lingo lessons. I have at least 12 languages I've started learning bits and pieces of. I love so much about the app, the speaking lessons, the listening lessons... ...but I honestly can't tolerate how Co-Dependent their Duo Mascot is on the Home Screen Widget. It's actually making me feel too depressed to do Duo Lingo lessons because Duo gets SO depressed when I am going through life that keeps me apart from the app. Please cheer up Duo. Nectar attracts more Bees than Vinegar",Negative,used love duo lingo lessons least 12 languages started learning bits pieces love much app speaking lessons listening lessons honestly tolerate co dependent duo mascot home screen widget actually making feel depressed duo lingo lessons duo gets depressed going life keeps apart app please cheer duo nectar attracts bees vinegar
A Google user,4,"Generally a good app to learn languages with. Sadly the options for non-english speakers are very limited so if your english isn't good enough to learn a new language based on it, you might not be able to learn the language you want. The ads are okayish by now.",Positive,generally good app learn languages sadly options non english speakers limited english good enough learn new language based might able learn language want ads okayish
A Google user,5,"This app is a lot better when it comes to learning about languages than Google translate ever will be. keep up the good work, Duo!",Positive,app lot better comes learning languages google translate ever keep good work duo
A Google user,5,very nice 👌 👍 👏,Positive,nice
A Google user,5,Helped me so much,Positive,helped much
A Google user,5,very important,Positive,important
A Google user,5,"It's really useful for cross country vacations and stuff if you want to have more fun but it's not like fluency it's like being able to do the essentials like order food somewhere and stuff and I also like the little app icon changes if you dont practice they're pretty funny and clever. Overall this app is useful, fun to use and a lot more positive things.",Positive,really useful cross country vacations stuff want fun like fluency like able essentials like order food somewhere stuff also like little app icon changes dont practice pretty funny clever overall app useful fun use lot positive things
A Google user,5,its good 👍,Positive,good
A Google user,5,it is so fun,Positive,fun
A Google user,5,love it,Positive,love
A Google user,4,"it teaches in a nice slow relaxed way, so you learn at your own pace.",Positive,teaches nice slow relaxed way learn pace
A Google user,4,this app is very helpfull,Positive,app helpfull
A Google user,1,This app changes its icon to harass people,Negative,app changes icon harass people
A Google user,5,"very good, they literally made learning fun and way easier",Positive,good literally made learning fun way easier
A Google user,5,this app is good for every student,Positive,app good every student
A Google user,5,It s a good learning app but I don't t expect that Duolingo will collaborate with squid games ☠️💀,Positive,good learning app expect duolingo collaborate squid games
A Google user,5,I have learned so much from this app! I hope I can finally speak to my grandparents in polish so they can understand me! Update: I can now speak to my grandparents pretty fluently thank you!!,Positive,learned much app hope finally speak grandparents polish understand update speak grandparents pretty fluently thank
A Google user,5,very nice 👍,Positive,nice
A Google user,1,Is that bird dead ?,Negative,bird dead
A Google user,5,"It is very helpful in learning languages , where as I'm learning Japanese🇯🇵 and chinese🇨🇳",Positive,helpful learning languages learning japanese chinese
A Google user,5,ansom but nepali language is not present why,Positive,ansom nepali language present
A Google user,5,the app was very good 💞💗,Positive,app good
A Google user,5,awesome,Positive,awesome
A Google user,5,"remember kids, Spanish or vanish.",Positive,remember kids spanish vanish
A Google user,5,عالی,Positive,عالی
A Google user,4,I enjoy your game while educating myself. please work on the oral aspect,Positive,enjoy game educating please work oral aspect
A Google user,5,awesome 😎💯,Positive,awesome
A Google user,5,nice language learning app,Positive,nice language learning app
A Google user,5,really interesting app to learn a language,Positive,really interesting app learn language
A Google user,4,superb,Positive,superb
A Google user,5,"I didn't know it was really working until I heard the language being spoken in front of me... even after a long break from practicing. The time I DID put in was worth every bit. When I experienced this, the first thing I did was jump back on and start practicing again. I'm very impressed.",Positive,know really working heard language spoken front even long break practicing time put worth every bit experienced first thing jump back start practicing impressed
A Google user,5,I love Duolingo this app teach me so much things.,Positive,love duolingo app teach much things
A Google user,5,it's great for learning some words,Positive,great learning words
A Google user,4,best language learning app😊,Positive,best language learning app
A Google user,3,I really love duolingo and how it lets you learn very well. Although what confuses me is how it gives access to fictional languages like elvish for example but not languages like tagalog (ive wanted to learn tagalog for a while) and i cant on duolingo. Id love if Duolingo does eventually give access to more languages like Tagalog. When that happens i will absolutely use it more,Neutral,really love duolingo lets learn well although confuses gives access fictional languages like elvish example languages like tagalog ive wanted learn tagalog cant duolingo id love duolingo eventually give access languages like tagalog happens absolutely use
A Google user,5,very good❤❤,Positive,good
A Google user,5,onak Vallo Akta App Jara English Shekta Can Tara Ay app ta Use Korta Paren 🙂😊,Positive,onak vallo akta app jara english shekta tara ay app ta use korta paren
A Google user,5,I loveeeee dualingoi it becomes hard when I stare at him,Positive,loveeeee dualingoi becomes hard stare
A Google user,5,best app,Positive,best app
A Google user,4,finally I speak Japanese corse,Positive,finally speak japanese corse
A Google user,4,its the best app for learning any language you like I keep my streak amazingly bc I get notification every single day I love this app,Positive,best app learning language like keep streak amazingly bc get notification every single day love app
A Google user,5,it's free and fun you can learn languages easily by playing this game but this is really creepy ...I mean look at the icon...it sometimes even spy you,Positive,free fun learn languages easily playing game really creepy mean look icon sometimes even spy
A Google user,1,not good,Negative,good
A Google user,5,OMG,Positive,omg
A Google user,4,It's good,Positive,good
A Google user,5,very nice language app and very versatile when you want to be ready for your traveling adventures,Positive,nice language app versatile want ready traveling adventures
A Google user,5,Cute 🍀❤️,Positive,cute
A Google user,5,"best app to learn any of the available languages, i wish if you guys add punjabi language as well...",Positive,best app learn available languages wish guys add punjabi language well
A Google user,5,very good and impressive an apps..This Very Useful,Positive,good impressive apps useful
A Google user,1,good luck,Negative,good luck
A Google user,5,mast aap,Positive,mast aap
A Google user,5,easy peasy to learn,Positive,easy peasy learn
A Google user,5,exalant learning sorce it's also very fun,Positive,exalant learning sorce also fun
A Google user,5,buolingo is the best app for learning English,Positive,buolingo best app learning english
A Google user,4,good APK,Positive,good apk
A Google user,5,I improve my English with this apps,Positive,improve english apps
A Google user,5,superrrrrrr app,Positive,superrrrrrr app
A Google user,5,so good,Positive,good
A Google user,5,It's a good app to learn language.,Positive,good app learn language
A Google user,2,"I don't appreciate how the translations are inaccurate. While studying Japanese and doing the word match exercise, I came across ""うみ"" and it was matched to ""beach"". Totally wrong. Even if the phrase ""うみにいきます"" (which is the example sentence used) can have the implied meaning of ""going to the beach"", it literally means ""going to the sea"". ""うみ"" means ""sea"". ""はま"" means ""beach"". Come on, guys. Also, ""あめ"" means ""rain"", not ""rainy"". Will more of this kind of misinformation crop up later?",Negative,appreciate translations inaccurate studying japanese word match exercise came across うみ matched beach totally wrong even phrase うみにいきます example sentence used implied meaning going beach literally means going sea うみ means sea はま means beach come guys also あめ means rain rainy kind misinformation crop later
A Google user,5,nice,Positive,nice
A Google user,4,great app,Positive,great app
A Google user,1,"You can not learn the essential grammar in Russian or any language for which, you'll not understand when the word changes accordingly and will fail over and over again. Bring grammar.",Negative,learn essential grammar russian language understand word changes accordingly fail bring grammar
A Google user,5,duolingo is amazing I have learned so much from this app,Positive,duolingo amazing learned much app
A Google user,3,very nice 👍,Neutral,nice
A Google user,5,"I appreciate this app because it provides fantastic lesson. Start now to use it, you will never regret",Positive,appreciate app provides fantastic lesson start use never regret
A Google user,1,useless without forums,Negative,useless without forums
A Google user,4,Great for pronunciation. But unfortunately no real useful sentence 😞,Positive,great pronunciation unfortunately real useful sentence
A Google user,5,its amazing app,Positive,amazing app
A Google user,5,wow is very good ❤️,Positive,wow good
A Google user,5,this app is very nice teaching,Positive,app nice teaching
A Google user,5,"The best learning platform I've used, and have learned/memorised over 25 words in 2 days. I also like that when you make a mistake at the end, you can redo it so that you eventually get all of them right and memorise them!",Positive,best learning platform used learned memorised 25 words 2 days also like make mistake end redo eventually get right memorise
A Google user,5,a fun way to learn a new language,Positive,fun way learn new language
A Google user,5,ITS AMAZING,Positive,amazing
A Google user,5,Great app to learn from scratch 👌,Positive,great app learn scratch
A Google user,5,very good,Positive,good
A Google user,5,super goooooooood and ssooo fun 5 🌟,Positive,super goooooooood ssooo fun 5
A Google user,5,very good 👍,Positive,good
A Google user,5,Easy to learn language,Positive,easy learn language
A Google user,5,YAYYYYY DUOLINGO IS THE BEST!!!! ABSOLUTELY LOVED IT 😍,Positive,yayyyyy duolingo best absolutely loved
A Google user,5,magnificent,Positive,magnificent
A Google user,5,learning experience is excellent due to esay progression and friendly interface,Positive,learning experience excellent due esay progression friendly interface
A Google user,4,"honestly, this Is a wonderful app",Positive,honestly wonderful app
A Google user,5,this app is just amazing I learning here Japanese and it's too easy to in this app,Positive,app amazing learning japanese easy app
A Google user,3,"Everything else is good, just some way for animations to play even when battery saver is on. I don't want to turn off battery saver everytime I want to open duolingo.",Neutral,everything else good way animations play even battery saver want turn battery saver everytime want open duolingo
A Google user,1,I enjoy match madness but it only let ne play a few times before I'm locked out and its just a super duolingo features. Ads have fake close buttons.,Negative,enjoy match madness let ne play times locked super duolingo features ads fake close buttons
A Google user,5,this is very useful,Positive,useful
A Google user,5,very nice app😘,Positive,nice app
A Google user,5,"i like it,its easy to learn about new language but i hate the numbr 1 number 2 thing.",Positive,like easy learn new language hate numbr 1 number 2 thing
A Google user,5,it's the perfect app for learning and perfect for learners 🤍🤍🤍🤍🤍🤍,Positive,perfect app learning perfect learners
A Google user,5,просто лучшее приложение для изучений языков,Positive,просто лучшее приложение для изучений языков
A Google user,5,this is the best app for learning English it's like a game,Positive,best app learning english like game
A Google user,5,new language learning is new season of everything,Positive,new language learning new season everything
A Google user,5,Duolingo is best aap to learn English and many language thanks Duolingo,Positive,duolingo best aap learn english many language thanks duolingo
A Google user,5,am still learning but it's a good app,Positive,still learning good app
A Google user,4,nice but ads can be reduced,Positive,nice ads reduced
A Google user,5,"It's a trap, once you get going you never come back. 1219 days into it and have a firm love/hate relationship with it.",Positive,trap get going never come back 1219 days firm love hate relationship
A Google user,5,good,Positive,good
A Google user,5,so good,Positive,good
A Google user,5,best app for learning different languages everrrrr it's my favorite app for learning languages,Positive,best app learning different languages everrrrr favorite app learning languages
A Google user,5,"I love this app so much it's helped me learn Italian and Japanese and I can't help but be so thankful, especially because it's free and no ads!! I generally appreciate this so much and being able to get the chance to learn these languages completely free!",Positive,love app much helped learn italian japanese help thankful especially free ads generally appreciate much able get chance learn languages completely free
A Google user,5,good learning app,Positive,good learning app
A Google user,5,it's making learning seems too easy and interesting,Positive,making learning seems easy interesting
A Google user,5,Great.....nothing upper then🫡👍👍,Positive,great nothing upper
A Google user,2,"Let's be honest, it's all about the money : subsciptions. The teaching content and quality has changed over time - not that it was great before, but it was there if one looked - no more grammar tips or explanations, no more comment section or discussion boards. At the free entry level one is obliged to look elsewhere for help and explanations.",Negative,let honest money subsciptions teaching content quality changed time great one looked grammar tips explanations comment section discussion boards free entry level one obliged look elsewhere help explanations
A Google user,5,I love this app.This is so useful.🤗😊,Positive,love app useful
A Google user,5,So sweet good game,Positive,sweet good game
A Google user,5,Mujhe Korean sikhana bahut pasand haiisase ham log bahut Sare language just Sikh sakte hainaur yah bahut Achcha app haiaur isse to five star hi Hona chahie,Positive,mujhe korean sikhana bahut pasand haiisase ham log bahut sare language sikh sakte hainaur yah bahut achcha app haiaur isse five star hi hona chahie
A Google user,4,"I would prefer to just study on my own without being in a competition each week with other students. The promotion and demotion system used by Duolingo is not for me. I often feel I do exercises to earn points rather than to learn the language. Duolingo has many positive features, but the completion system app developers have instituted is not to my liking.",Positive,would prefer study without competition week students promotion demotion system used duolingo often feel exercises earn points rather learn language duolingo many positive features completion system app developers instituted liking
A Google user,4,this app is very helpful for learning English,Positive,app helpful learning english
A Google user,5,I am so interested. I hope I will learn English through these duo apps,Positive,interested hope learn english duo apps
A Google user,1,⭐⭐⭐⭐⭐,Negative,
A Google user,5,It's nice and I'm enjoying it!,Positive,nice enjoying
A Google user,5,doulingo have helped me achieve many things and one of them are creole,Positive,doulingo helped achieve many things one creole
A Google user,5,very nice and very good learning app,Positive,nice good learning app
A Google user,5,fun to learn ❤️❤️,Positive,fun learn
A Google user,5,I'm also reading Italian from this app This app is unbelievable This is the number 1 app in the world for language learning coursees I love this app ❤️❤️❤️❤️❤️❤️,Positive,also reading italian app app unbelievable number 1 app world language learning coursees love app
A Google user,5,wow so good for learning new languages😀👌,Positive,wow good learning new languages
A Google user,5,useful 👍🏻,Positive,useful
A Google user,5,Mind blowing App.,Positive,mind blowing app
A Google user,5,برنامج جميل والله وأنا ولادي حبو البرنامج 😍😍🥰🥰💓💗💖💝💘💕💞🩷🧡💛💚💙🩵💜🤎🤍🩶🖤,Positive,برنامج جميل والله وأنا ولادي حبو البرنامج
A Google user,5,magnifique,Positive,magnifique
